"","direction","fit","se","lower","upper"
"1","Extreme
approval",0.629090668110385,0.0256071368159541,0.57881276610738,0.67936857011339
"2","Extreme
disapproval",0.646716634263451,0.0268061157004918,0.594084617339527,0.699348651187375
"3","Moderate
approval",0.495904678810259,0.0284776706335844,0.439990675472833,0.551818682147686
"4","Moderate
disapproval",0.471418084396723,0.0284751692696231,0.415508992320286,0.527327176473159
